deal_id,account,segment,region,product,industry,deal_size_usd,sales_cycle_days,rep,competitor,discount_pct,num_stakeholders,champion_strength,outcome,primary_reason,notes
D1001,Account 001,SMB,Southeast,AI Revenue Management,Conventional Multifamily,21000,60,A. Morgan,Yardi,10,3,Medium,Won,Strong ROI / revenue lift,AI revenue management pilot showed a clear rent-optimization lift; CFO championed it.
D1002,Account 002,SMB,Central,Resident Screening,Conventional Multifamily,25000,175,F. Okafor,MRI Software,10,5,Medium,Won,Trusted relationship / references,Strong peer references in their region sealed it.
D1003,Account 003,Enterprise,Southeast,Payments & Billing,Conventional Multifamily,402000,36,A. Morgan,Entrata,15,3,Medium,Lost,Lost to competitor incumbent,Switching cost fears; incumbent offered a multi-year lock-in discount.
D1004,Account 004,Enterprise,Southeast,Property Management Platform,Conventional Multifamily,352000,45,C. Diaz,ResMan,10,3,Low,Won,Trusted relationship / references,Strong peer references in their region sealed it.
D1005,Account 005,SMB,Southeast,Property Management Platform,Student Housing,48000,161,D. Patel,Entrata,5,2,High,Lost,Missing feature / product gap,Competitor demoed automated renewals; our workflow still needs manual steps.
D1006,Account 006,Mid-Market,West,Payments & Billing,Affordable,160000,105,B. Chen,None,10,1,High,Lost,Lost to competitor incumbent,Incumbent Yardi bundled the module for free to retain the account.
D1007,Account 007,SMB,Northeast,Property Management Platform,Student Housing,45000,92,F. Okafor,AppFolio,25,2,High,Won,Product fit / platform consolidation,They consolidated four point tools onto our platform.
D1008,Account 008,SMB,West,Property Management Platform,Single-Family Rental,37000,185,D. Patel,AppFolio,5,2,High,Won,Strong ROI / revenue lift,AI revenue management pilot showed a clear rent-optimization lift; CFO championed it.
D1009,Account 009,SMB,Southeast,Payments & Billing,Student Housing,54000,100,A. Morgan,None,15,2,High,Won,Product fit / platform consolidation,They consolidated four point tools onto our platform.
D1010,Account 010,SMB,Northeast,Property Management Platform,Conventional Multifamily,31000,120,D. Patel,Entrata,10,2,Medium,Lost,Lost to competitor incumbent,Incumbent Yardi bundled the module for free to retain the account.
D1011,Account 011,Enterprise,Central,AI Revenue Management,Student Housing,363000,149,F. Okafor,Entrata,5,2,Medium,Won,Superior support / implementation,Our implementation plan de-risked the migration and beat the competitor's.
D1012,Account 012,SMB,West,Payments & Billing,Single-Family Rental,29000,120,B. Chen,ResMan,10,4,Medium,Won,Product fit / platform consolidation,They consolidated four point tools onto our platform.
