opportunity_id,account,product_family,stage,IsWon,outcome,owner,close_date,sale_type
006A001,Cedar Ridge Residential,AI Revenue Management,Closed Lost,false,Lost,A. Morgan,2026-08-14,New
006A002,Harbor Point Communities,Property Management Platform,Closed Won,true,Won,F. Okafor,2026-07-30,New
006A003,Summit Valley Homes,Leasing & Marketing,Negotiation,false,Stalled / No Decision,B. Chen,,New
006A004,Lakeside Living Group,Payments & Billing,Closed Lost,false,Lost,C. Diaz,2026-08-02,New
006A005,Northgate Property Partners,Resident Screening,Closed Won,true,Won,E. Novak,2026-07-11,New
006A006,Riverstone Realty,AI Revenue Management,Closed Lost,false,Lost,D. Patel,2026-08-20,New
006A007,Beacon Hill Apartments,Property Management Platform,Closed Won,true,Won,A. Morgan,2026-06-28,New
006A008,Willow Creek Management,Payments & Billing,Proposal,false,Stalled / No Decision,B. Chen,,New
006A009,Maplewood Residences,Leasing & Marketing,Closed Lost,false,Lost,F. Okafor,2026-08-09,New
006A010,Oakhaven Communities,AI Revenue Management,Closed Won,true,Won,D. Patel,2026-06-15,New
006A011,Prairie Winds Housing,Resident Screening,Closed Lost,false,Lost,C. Diaz,2026-08-25,New
006A012,Fair Meadow Realty,Property Management Platform,Closed Won,true,Won,E. Novak,2026-07-05,New
006A013,Copperfield Communities,AI Revenue Management,Closed Won,true,Won,F. Okafor,2026-06-02,New
006A014,Stonebrook Rentals,Resident Screening,Closed Won,true,Won,A. Morgan,2026-05-20,New
006A015,Ironwood Property Group,Payments & Billing,Closed Lost,false,Lost,C. Diaz,2026-08-28,New
006A016,Brightwater Homes,Leasing & Marketing,Closed Won,true,Won,B. Chen,2026-05-05,New
006A017,Sagebrush Living,Property Management Platform,Closed Lost,false,Lost,D. Patel,2026-08-30,New
006A018,Half Moon Residences,Property Management Platform,Closed Won,true,Won,E. Novak,2026-04-22,New
