deal_id,account,segment,region,product,industry,deal_size_usd,days_in_stage,stage,rep,competitor,discount_pct,num_stakeholders,champion_strength,notes
O2001,Prospect 001,SMB,Southeast,Resident Screening,Single-Family Rental,40000,46,Negotiation,C. Diaz,None,0,4,Medium,Strong technical fit; procurement review pending.
O2002,Prospect 002,Enterprise,Northeast,AI Revenue Management,Single-Family Rental,239000,36,Demo,E. Novak,Yardi,0,3,Medium,Strong technical fit; procurement review pending.
O2003,Prospect 003,SMB,Northeast,Leasing & Marketing,Single-Family Rental,45000,45,Proposal,B. Chen,None,0,2,High,Budget approval uncertain this quarter.
O2004,Prospect 004,Enterprise,Southeast,Property Management Platform,Student Housing,278000,9,Discovery,E. Novak,ResMan,20,5,Medium,Champion engaged but economic buyer not yet identified.
O2005,Prospect 005,Enterprise,Central,Resident Screening,Student Housing,487000,113,Proposal,C. Diaz,MRI Software,15,1,Low,Champion engaged but economic buyer not yet identified.
O2006,Prospect 006,Enterprise,West,Leasing & Marketing,Affordable,480000,55,Discovery,C. Diaz,Yardi,5,1,Medium,Strong technical fit; procurement review pending.
O2007,Prospect 007,Mid-Market,Central,Payments & Billing,Affordable,128000,105,Proposal,F. Okafor,Entrata,25,4,High,Competitor is the incumbent; pricing pressure expected.
O2008,Prospect 008,SMB,West,Property Management Platform,Student Housing,57000,77,Discovery,F. Okafor,MRI Software,10,3,Low,Competitor is the incumbent; pricing pressure expected.
O2009,Prospect 009,SMB,Southeast,Leasing & Marketing,Conventional Multifamily,12000,35,Proposal,B. Chen,Entrata,20,2,High,Strong technical fit; procurement review pending.
O2010,Prospect 010,Enterprise,Northeast,Payments & Billing,Conventional Multifamily,247000,49,Proposal,B. Chen,MRI Software,30,3,High,Champion engaged but economic buyer not yet identified.
O2011,Prospect 011,SMB,Southeast,Property Management Platform,Single-Family Rental,32000,17,Negotiation,D. Patel,Yardi,25,4,Medium,Budget approval uncertain this quarter.
O2012,Prospect 012,SMB,West,AI Revenue Management,Affordable,12000,48,Demo,C. Diaz,ResMan,15,1,Low,Multiple stakeholders aligned; timeline is aggressive.
O2013,Prospect 013,Enterprise,West,Leasing & Marketing,Single-Family Rental,454000,118,Negotiation,D. Patel,ResMan,0,3,Medium,Competitor is the incumbent; pricing pressure expected.
O2014,Prospect 014,Enterprise,Northeast,Leasing & Marketing,Affordable,241000,55,Negotiation,C. Diaz,Yardi,5,4,Low,Competitor is the incumbent; pricing pressure expected.
O2015,Prospect 015,Enterprise,West,Payments & Billing,Student Housing,225000,42,Discovery,A. Morgan,Entrata,10,5,Medium,Multiple stakeholders aligned; timeline is aggressive.
O2016,Prospect 016,Enterprise,Central,AI Revenue Management,Single-Family Rental,573000,28,Negotiation,C. Diaz,Entrata,15,3,Medium,Champion engaged but economic buyer not yet identified.
O2017,Prospect 017,Mid-Market,Central,Leasing & Marketing,Conventional Multifamily,52000,90,Proposal,F. Okafor,AppFolio,30,3,Low,Budget approval uncertain this quarter.
O2018,Prospect 018,Mid-Market,Southeast,Payments & Billing,Single-Family Rental,70000,43,Discovery,E. Novak,None,20,1,Medium,Multiple stakeholders aligned; timeline is aggressive.
O2019,Prospect 019,SMB,West,Leasing & Marketing,Student Housing,21000,108,Demo,D. Patel,Yardi,20,5,Medium,Competitor is the incumbent; pricing pressure expected.
O2020,Prospect 020,Enterprise,Northeast,Property Management Platform,Affordable,588000,16,Negotiation,F. Okafor,AppFolio,15,2,High,Budget approval uncertain this quarter.
O2021,Prospect 021,Mid-Market,West,AI Revenue Management,Single-Family Rental,58000,80,Discovery,D. Patel,AppFolio,20,4,High,Champion engaged but economic buyer not yet identified.
O2022,Prospect 022,SMB,Northeast,Resident Screening,Single-Family Rental,44000,82,Negotiation,D. Patel,None,30,5,High,Champion engaged but economic buyer not yet identified.
O2023,Prospect 023,Enterprise,Northeast,AI Revenue Management,Single-Family Rental,241000,65,Proposal,F. Okafor,Entrata,20,4,Low,Strong technical fit; procurement review pending.
O2024,Prospect 024,Enterprise,Central,Payments & Billing,Conventional Multifamily,273000,104,Proposal,B. Chen,Entrata,10,3,High,Strong technical fit; procurement review pending.
O2025,Prospect 025,SMB,Southeast,Property Management Platform,Single-Family Rental,60000,12,Demo,E. Novak,AppFolio,5,4,Medium,Champion engaged but economic buyer not yet identified.
O2026,Prospect 026,Mid-Market,Central,Leasing & Marketing,Conventional Multifamily,146000,112,Discovery,B. Chen,ResMan,30,5,Medium,Competitor is the incumbent; pricing pressure expected.
O2027,Prospect 027,Enterprise,Southeast,Resident Screening,Affordable,323000,92,Discovery,E. Novak,AppFolio,25,2,High,Competitor is the incumbent; pricing pressure expected.
O2028,Prospect 028,Mid-Market,Northeast,Leasing & Marketing,Affordable,154000,100,Discovery,B. Chen,AppFolio,30,4,Medium,Strong technical fit; procurement review pending.
O2029,Prospect 029,Enterprise,Central,Property Management Platform,Student Housing,453000,7,Discovery,C. Diaz,Entrata,20,2,Low,Multiple stakeholders aligned; timeline is aggressive.
O2030,Prospect 030,Enterprise,Northeast,Resident Screening,Affordable,578000,63,Proposal,D. Patel,MRI Software,0,2,Medium,Competitor is the incumbent; pricing pressure expected.
O2031,Prospect 031,Mid-Market,West,Leasing & Marketing,Conventional Multifamily,147000,76,Proposal,E. Novak,Entrata,20,4,Medium,Strong technical fit; procurement review pending.
O2032,Prospect 032,SMB,Northeast,Resident Screening,Affordable,56000,35,Discovery,B. Chen,Yardi,10,3,Low,Budget approval uncertain this quarter.
O2033,Prospect 033,Mid-Market,Northeast,Payments & Billing,Affordable,89000,9,Demo,D. Patel,MRI Software,25,1,Medium,Strong technical fit; procurement review pending.
O2034,Prospect 034,SMB,Central,Resident Screening,Affordable,19000,42,Discovery,F. Okafor,ResMan,25,4,Medium,Multiple stakeholders aligned; timeline is aggressive.
O2035,Prospect 035,Enterprise,Central,Resident Screening,Conventional Multifamily,234000,58,Proposal,C. Diaz,ResMan,20,2,Medium,Strong technical fit; procurement review pending.
O2036,Prospect 036,Mid-Market,Southeast,AI Revenue Management,Conventional Multifamily,55000,53,Proposal,B. Chen,MRI Software,0,4,Medium,Multiple stakeholders aligned; timeline is aggressive.
O2037,Prospect 037,Enterprise,Central,Payments & Billing,Single-Family Rental,561000,104,Discovery,C. Diaz,None,5,3,Low,Multiple stakeholders aligned; timeline is aggressive.
O2038,Prospect 038,Mid-Market,Northeast,AI Revenue Management,Single-Family Rental,139000,78,Demo,B. Chen,MRI Software,25,1,Low,Multiple stakeholders aligned; timeline is aggressive.
O2039,Prospect 039,Enterprise,Southeast,Payments & Billing,Single-Family Rental,139000,98,Proposal,A. Morgan,Yardi,15,4,Medium,Champion engaged but economic buyer not yet identified.
O2040,Prospect 040,Mid-Market,Northeast,Property Management Platform,Student Housing,53000,69,Proposal,C. Diaz,ResMan,0,1,Medium,Competitor is the incumbent; pricing pressure expected.
